Node1,Node2,Weight
0,1,-1
0,3,1
0,9,-1
0,11,-1
0,16,1
0,23,-1
0,30,1
1,5,-1
1,6,1
1,7,1
1,8,-1
1,10,-1
1,15,-1
1,18,1
1,25,-1
2,3,1
2,5,-1
2,6,-1
2,8,1
2,13,1
2,17,-1
2,20,1
2,23,-1
2,39,1
3,4,-1
3,6,-1
3,8,-1
3,9,-1
3,11,-1
3,14,-1
3,15,1
3,24,1
3,32,1
4,5,1
4,8,-1
4,9,-1
4,10,-1
4,12,1
4,17,1
4,18,-1
4,22,-1
4,35,-1
4,37,1
5,7,-1
5,8,1
5,13,1
5,17,-1
5,19,1
5,26,-1
5,36,1
6,8,-1
6,9,-1
6,12,-1
6,14,1
6,15,1
6,17,1
6,19,1
6,23,1
6,24,-1
6,25,1
6,26,-1
6,28,1
6,29,1
6,31,1
6,33,-1
6,34,1
6,36,1
7,8,-1
7,9,1
7,11,-1
7,21,-1
7,22,1
7,24,-1
7,25,-1
7,32,1
8,9,-1
8,10,1
8,12,-1
8,13,1
8,16,-1
8,17,1
8,20,-1
8,22,1
8,27,1
8,28,-1
8,33,-1
8,36,-1
9,12,-1
9,14,-1
9,15,1
9,17,1
9,18,1
9,19,1
9,21,1
9,22,1
9,24,-1
9,25,-1
9,27,-1
9,28,-1
9,32,1
9,36,1
10,12,-1
10,13,1
10,17,1
10,18,1
10,19,-1
10,20,1
10,22,-1
10,23,1
10,25,-1
10,27,1
10,31,-1
10,34,1
11,13,-1
11,14,1
11,15,1
11,25,1
11,26,-1
11,27,-1
11,30,1
11,31,1
12,21,-1
12,23,-1
12,28,1
12,29,1
12,37,-1
13,18,1
13,25,1
13,32,1
14,16,-1
14,19,1
14,20,1
14,23,-1
14,24,-1
14,25,1
14,27,-1
14,31,-1
14,34,1
14,36,1
14,37,1
15,17,-1
15,18,-1
15,20,-1
15,22,1
15,23,-1
15,28,-1
15,32,1
15,34,-1
15,37,-1
16,19,-1
16,25,-1
16,32,-1
16,35,1
16,39,1
17,19,1
17,20,-1
17,21,1
17,23,1
17,25,-1
17,29,1
17,34,1
18,19,-1
18,23,1
18,25,-1
18,29,1
18,30,-1
18,34,-1
19,20,1
19,21,1
19,23,-1
19,24,-1
19,26,-1
19,27,-1
19,29,-1
19,30,1
19,34,-1
19,35,1
19,36,1
19,37,1
19,38,-1
19,39,1
20,21,1
20,22,-1
20,24,-1
20,25,1
20,29,-1
20,30,1
20,32,1
20,33,-1
20,34,1
20,35,-1
21,24,-1
21,26,1
21,30,1
21,31,-1
21,32,-1
21,38,1
22,23,-1
22,24,-1
22,26,-1
22,27,-1
22,29,1
22,33,-1
22,37,1
23,29,-1
23,35,1
23,36,-1
23,37,1
24,25,1
24,28,1
24,29,-1
24,34,1
24,36,-1
24,37,1
25,28,1
25,32,-1
25,35,1
25,38,1
25,39,1
26,27,1
26,28,1
26,32,-1
26,34,1
26,35,-1
27,33,1
27,34,-1
27,36,-1
28,30,-1
28,31,1
29,32,1
29,36,1
29,37,1
30,34,-1
30,37,-1
30,38,-1
30,39,-1
31,38,-1
32,35,1
32,36,1
32,37,1
32,38,-1
32,39,1
33,35,1
33,37,1
33,39,1
34,38,-1
35,36,1
35,39,1
36,37,-1
38,39,-1
