Node1,Node2,Weight
0,1,1
0,4,1
0,5,-1
0,8,1
0,9,-1
0,10,1
0,14,1
0,15,-1
0,16,-1
0,19,-1
0,22,-1
0,28,-1
0,36,1
0,38,-1
0,55,1
0,58,1
0,63,1
1,2,-1
1,9,-1
1,10,-1
1,11,1
1,14,1
1,20,1
1,22,-1
1,24,-1
1,26,-1
1,27,1
1,29,-1
1,30,1
1,31,-1
1,33,-1
1,37,-1
1,40,-1
1,41,1
1,46,1
1,49,1
1,51,1
1,65,1
1,69,-1
2,3,1
2,4,-1
2,5,1
2,6,-1
2,11,-1
2,14,1
2,15,1
2,16,-1
2,18,-1
2,19,1
2,22,1
2,23,1
2,30,-1
2,36,1
2,40,-1
2,41,1
2,43,-1
2,51,-1
2,58,1
2,63,1
2,64,1
2,65,1
2,70,1
2,72,-1
3,4,-1
3,5,-1
3,10,1
3,18,-1
3,19,1
3,20,-1
3,30,1
3,40,1
3,41,1
3,43,1
3,46,1
3,47,-1
3,48,1
3,52,1
3,62,-1
3,64,-1
3,75,-1
3,78,-1
3,79,-1
4,5,1
4,6,1
4,8,1
4,9,-1
4,11,-1
4,13,-1
4,14,-1
4,15,1
4,19,1
4,31,1
4,33,1
4,34,1
4,36,1
4,48,-1
4,55,1
4,56,-1
4,58,-1
4,63,-1
4,69,-1
4,76,1
5,8,-1
5,11,-1
5,12,-1
5,14,-1
5,15,1
5,23,-1
5,24,-1
5,25,1
5,29,1
5,32,-1
5,36,1
5,39,-1
5,40,1
5,48,-1
5,50,-1
5,59,1
5,61,-1
5,64,1
5,69,-1
6,8,1
6,10,-1
6,11,-1
6,13,1
6,17,1
6,19,-1
6,21,-1
6,22,1
6,23,-1
6,24,-1
6,26,-1
6,32,-1
6,33,1
6,35,1
6,37,-1
6,42,-1
6,51,-1
6,52,1
6,60,1
6,64,-1
6,65,-1
6,68,-1
6,73,-1
7,8,1
7,9,1
7,14,-1
7,21,-1
7,22,-1
7,26,-1
7,27,1
7,31,1
7,34,1
7,40,-1
7,42,1
7,46,-1
7,48,-1
7,51,-1
7,53,-1
7,54,1
7,55,1
7,57,1
7,61,1
7,70,-1
7,73,-1
8,11,1
8,17,-1
8,18,-1
8,21,-1
8,22,1
8,25,1
8,29,1
8,36,-1
8,37,1
8,39,-1
8,49,1
8,51,1
8,65,-1
9,14,1
9,17,1
9,18,-1
9,21,-1
9,26,-1
9,27,-1
9,41,-1
9,42,1
9,49,1
9,51,-1
9,52,-1
9,54,-1
9,55,1
9,61,-1
9,64,1
9,73,1
9,75,1
9,79,-1
10,15,-1
10,16,1
10,22,-1
10,24,1
10,28,1
10,29,1
10,39,-1
10,40,-1
10,41,-1
10,45,1
10,47,1
10,52,-1
10,53,-1
10,55,1
10,56,-1
10,57,1
10,58,-1
10,61,1
10,68,-1
11,12,1
11,14,-1
11,22,1
11,24,1
11,34,1
11,35,-1
11,39,-1
11,43,-1
11,49,-1
11,53,-1
11,54,1
11,57,1
11,59,-1
11,60,1
11,64,-1
11,67,1
11,75,1
11,76,-1
12,13,1
12,15,1
12,17,-1
12,20,-1
12,22,1
12,23,1
12,25,-1
12,26,1
12,36,-1
12,37,-1
12,38,-1
12,39,1
12,45,-1
12,57,-1
12,59,1
