Graph,GS energy
1,-411.0
2,-407.0
3,-399.0
4,-393.0
5,-393.0
6,-399.0
7,-395.0
8,-417.0
9,-405.0
10,-393.0
11,-395.0
12,-397.0
13,-393.0
14,-369.0
15,-409.0
16,-397.0
17,-393.0
18,-405.0
19,-401.0
20,-399.0
21,-407.0
22,-401.0
23,-387.0
24,-401.0
25,-385.0
26,-399.0
27,-399.0
28,-391.0
29,-415.0
30,-397.0
31,-401.0
32,-413.0
33,-415.0
34,-383.0
35,-423.0
36,-411.0
37,-397.0
38,-393.0
39,-409.0
40,-405.0
41,-393.0
42,-419.0
43,-397.0
44,-389.0
45,-411.0
46,-401.0
47,-389.0
48,-391.0
49,-397.0
50,-399.0
51,-399.0
52,-397.0
53,-383.0
54,-395.0
55,-391.0
56,-387.0
57,-409.0
58,-411.0
59,-411.0
60,-393.0
61,-397.0
62,-397.0
63,-417.0
64,-397.0
65,-397.0
66,-401.0
67,-397.0
68,-397.0
69,-395.0
70,-435.0
71,-393.0
72,-403.0
73,-391.0
74,-395.0
75,-409.0
76,-393.0
77,-395.0
78,-409.0
79,-389.0
80,-403.0
81,-409.0
82,-395.0
83,-411.0
84,-395.0
85,-397.0
86,-383.0
87,-401.0
88,-415.0
89,-387.0
90,-405.0
91,-409.0
92,-389.0
93,-383.0
94,-383.0
95,-403.0
96,-385.0
97,-391.0
98,-407.0
99,-405.0
100,-403.0
