Graph,GS energy
1,-170.0
2,-174.0
3,-182.0
4,-174.0
5,-172.0
6,-178.0
7,-182.0
8,-188.0
9,-176.0
10,-172.0
11,-168.0
12,-170.0
13,-186.0
14,-182.0
15,-186.0
16,-168.0
17,-182.0
18,-170.0
19,-172.0
20,-166.0
21,-164.0
22,-176.0
23,-168.0
24,-164.0
25,-160.0
26,-182.0
27,-176.0
28,-172.0
29,-170.0
30,-174.0
31,-174.0
32,-170.0
33,-168.0
34,-176.0
35,-166.0
36,-174.0
37,-170.0
38,-174.0
39,-190.0
40,-166.0
41,-180.0
42,-172.0
43,-170.0
44,-170.0
45,-180.0
46,-182.0
47,-164.0
48,-174.0
49,-176.0
50,-182.0
51,-170.0
52,-180.0
53,-176.0
54,-176.0
55,-172.0
56,-188.0
57,-164.0
58,-178.0
59,-170.0
60,-162.0
61,-176.0
62,-168.0
63,-170.0
64,-168.0
65,-170.0
66,-170.0
67,-182.0
68,-188.0
69,-182.0
70,-178.0
71,-174.0
72,-180.0
73,-174.0
74,-176.0
75,-168.0
76,-170.0
77,-174.0
78,-184.0
79,-188.0
80,-172.0
81,-172.0
82,-178.0
83,-174.0
84,-172.0
85,-182.0
86,-168.0
87,-170.0
88,-176.0
89,-172.0
90,-170.0
91,-168.0
92,-174.0
93,-178.0
94,-178.0
95,-176.0
96,-178.0
97,-174.0
98,-176.0
99,-194.0
100,-176.0
