Graph,GS energy
1,-106.0
2,-100.0
3,-98.0
4,-98.0
5,-96.0
6,-96.0
7,-102.0
8,-100.0
9,-96.0
10,-94.0
11,-98.0
12,-100.0
13,-98.0
14,-108.0
15,-102.0
16,-112.0
17,-98.0
18,-90.0
19,-98.0
20,-98.0
21,-96.0
22,-94.0
23,-100.0
24,-98.0
25,-102.0
26,-94.0
27,-102.0
28,-100.0
29,-90.0
30,-94.0
31,-92.0
32,-98.0
33,-100.0
34,-98.0
35,-92.0
36,-106.0
37,-92.0
38,-94.0
39,-98.0
40,-106.0
41,-96.0
42,-98.0
43,-98.0
44,-96.0
45,-100.0
46,-102.0
47,-102.0
48,-96.0
49,-94.0
50,-94.0
51,-100.0
52,-102.0
53,-102.0
54,-94.0
55,-100.0
56,-98.0
57,-90.0
58,-96.0
59,-98.0
60,-96.0
61,-96.0
62,-100.0
63,-102.0
64,-98.0
65,-102.0
66,-102.0
67,-98.0
68,-106.0
69,-100.0
70,-100.0
71,-96.0
72,-102.0
73,-98.0
74,-100.0
75,-98.0
76,-100.0
77,-98.0
78,-96.0
79,-92.0
80,-112.0
81,-108.0
82,-100.0
83,-108.0
84,-100.0
85,-100.0
86,-98.0
87,-98.0
88,-100.0
89,-100.0
90,-92.0
91,-94.0
92,-104.0
93,-108.0
94,-100.0
95,-102.0
96,-98.0
97,-104.0
98,-104.0
99,-94.0
100,-104.0
