Graph,GS energy
1,-31.0
2,-33.0
3,-31.0
4,-35.0
5,-31.0
6,-31.0
7,-35.0
8,-39.0
9,-33.0
10,-33.0
11,-33.0
12,-35.0
13,-31.0
14,-35.0
15,-33.0
16,-29.0
17,-39.0
18,-45.0
19,-33.0
20,-31.0
21,-35.0
22,-33.0
23,-37.0
24,-37.0
25,-35.0
26,-35.0
27,-31.0
28,-33.0
29,-33.0
30,-31.0
31,-35.0
32,-33.0
33,-35.0
34,-35.0
35,-35.0
36,-37.0
37,-37.0
38,-39.0
39,-33.0
40,-31.0
41,-33.0
42,-33.0
43,-35.0
44,-31.0
45,-33.0
46,-31.0
47,-33.0
48,-35.0
49,-35.0
50,-33.0
51,-35.0
52,-33.0
53,-33.0
54,-37.0
55,-37.0
56,-37.0
57,-33.0
58,-33.0
59,-33.0
60,-35.0
61,-35.0
62,-35.0
63,-33.0
64,-33.0
65,-31.0
66,-33.0
67,-31.0
68,-35.0
69,-31.0
70,-31.0
71,-37.0
72,-35.0
73,-33.0
74,-33.0
75,-35.0
76,-37.0
77,-33.0
78,-33.0
79,-33.0
80,-35.0
81,-31.0
82,-33.0
83,-31.0
84,-35.0
85,-31.0
86,-31.0
87,-33.0
88,-37.0
89,-35.0
90,-35.0
91,-31.0
92,-35.0
93,-39.0
94,-35.0
95,-33.0
96,-41.0
97,-33.0
98,-29.0
99,-37.0
100,-37.0
